127.0.0.1 - - [07/Feb/2026 13:34:54] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:35:18] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:35:19] "GET /beepbox_editor.min.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:35:20] "GET /service_worker.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:35:20] "GET /player/ HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:35:20] "GET /player/beepbox_player.min.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:35:20] "GET /samples.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:35:20] "GET /samples2.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:35:20] "GET /samples3.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:35:20] "GET /drumsamples.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:35:20] "GET /kirby_samples.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:35:20] "GET /wario_samples.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:35:20] "GET /mario_paintbox_samples.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:35:21] "GET /nintaribox_samples.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:36:12] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:36:12] "GET /beepbox_editor.min.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:36:13] "GET /service_worker.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:36:13] "GET /player/ HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:36:13] "GET /player/beepbox_player.min.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:36:13] "GET /samples.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:36:13] "GET /samples2.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:36:13] "GET /samples3.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:36:13] "GET /drumsamples.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:36:13] "GET /kirby_samples.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:36:13] "GET /wario_samples.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:36:13] "GET /mario_paintbox_samples.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Feb/2026 13:36:13] "GET /nintaribox_samples.js HTTP/1.1" 200 -
